pi,delta,gamma1,abs_gamma1,gamma2,regime,neg_density,p_true_-2.0,p_edge_-2.0,p_sad_-2.0,err_edge_-2.0,err_sad_-2.0,sq_err_edge_-2.0,sq_err_sad_-2.0,p_true_-2.33,p_edge_-2.33,p_sad_-2.33,err_edge_-2.33,err_sad_-2.33,sq_err_edge_-2.33,sq_err_sad_-2.33,p_true_-3.0,p_edge_-3.0,p_sad_-3.0,err_edge_-3.0,err_sad_-3.0,sq_err_edge_-3.0,sq_err_sad_-3.0,p_true_-3.5,p_edge_-3.5,p_sad_-3.5,err_edge_-3.5,err_sad_-3.5,sq_err_edge_-3.5,sq_err_sad_-3.5,es_true,es_edge,es_sad,es_relerr_edge,es_relerr_sad,loss_diff,g1_star_theoretical,predicted_inside,empirical_inside
0.005,3.0,-0.12452538290975428,0.12452538290975428,0.358155354203154,Mild,False,0.026843105018781014,0.030688273241739623,0.031066766440747996,0.0038451682229586094,0.004223661421966982,1.478531866285067e-05,1.783931580741215e-05,0.013596415705891873,0.0164512097783622,0.016206277166322388,0.0028547940724703257,0.0026098614604305147,8.149849196211706e-06,6.8113768426404986e-06,0.003843148541471943,0.003985244500318546,0.0037463735652195195,0.00014209595884660288,9.677497625242351e-05,2.0191261520535458e-08,9.365396028657135e-09,0.0017741536272702818,0.0011416657845898836,0.0011186655468672182,0.0006324878426803983,0.0006554880804030636,4.0004087113850424e-07,4.296646235504932e-07,-3.04796952146048,-3.010231421312406,-2.994211247013929,1.2381390260750085,1.7637405514734916,1.0825865491878323e-08,0.4040834680199623,True,True
0.005,3.257142857142857,-0.15755509932024078,0.15755509932024078,0.49012202435152497,Mild,False,0.027114626511757407,0.03247003680036956,0.03302273471253658,0.005355410288612156,0.005908108200779177,2.868041935937294e-05,3.490574251211416e-05,0.013968929263857214,0.018203813407682574,0.017762310671731233,0.004234884143825361,0.0037933814078740195,1.793424371162346e-05,1.4389742505604278e-05,0.004350477305574137,0.004853834169971593,0.004443922108033925,0.0005033568643974555,9.344480245978767e-05,2.533681329360384e-07,8.731931106748741e-09,0.0022517561005617488,0.0014772086164783712,0.0014272180066981345,0.0007745474840833775,0.0008245380938636142,5.9992380509989e-07,6.798630682322424e-07,-3.1427526283872944,-3.0960718430117606,-3.072101831471294,1.4853471111243028,2.248054660040326,2.4463620182928965e-07,0.44823262840509415,True,True
0.005,3.5142857142857142,-0.1954766627098187,0.1954766627098187,0.653412574672166,Mild,False,0.02731149781290097,0.03445472254633267,0.035189083193179725,0.007143224733431697,0.007877585380278756,5.102565959231034e-05,6.205635142358159e-05,0.014262810226661708,0.02024604436894574,0.019499684663707398,0.005983234142284032,0.00523687443704569,3.579909080139334e-05,2.7424853869382617e-05,0.00482551792129443,0.005925035817424071,0.005258740877092196,0.0010995178961296405,0.00043322295579776605,1.2089396039093508e-06,1.8768212943015315e-07,0.0027599608415940255,0.0019058559764584021,0.0018072780237652685,0.0008541048651356234,0.000952682817828757,7.294951206483414e-07,9.076045513861406e-07,-3.2466492443251616,-3.1898570212134985,-3.1573112961415717,1.7492565053317841,2.7516969484690783,1.0212574744791976e-06,0.4924534633755684,True,True
0.005,3.7714285714285714,-0.23845478576131038,0.23845478576131038,0.8516653748148424,Mild,False,0.027445157636196052,0.036627510103535155,0.03754483905876688,0.009182352467339103,0.010099681422570825,8.43155968344485e-05,0.00010200356483742224,0.014479901073091262,0.022589739986264533,0.02140677035818327,0.00810983891317327,0.006926869285092008,6.576948719761942e-05,4.798151809275106e-05,0.005242016178236381,0.007227553051523814,0.006194031157813725,0.0019855368732874332,0.0009520149795773439,3.942356675184037e-06,9.063325213396505e-07,0.0032663123593097898,0.002446087976349883,0.00226598860905497,0.0008202243829599069,0.0010003237502548197,6.727680384019599e-07,1.0006476053238669e-06,-3.358048734602613,-3.289246220897056,-3.2490558679380186,2.048883716206668,3.245720216668999,3.036024153844386e-06,0.5358244106173515,True,True
0.005,4.0285714285714285,-0.2866150031305766,0.2866150031305766,1.0884107614564806,Mild,False,0.02753012638558125,0.038965214239855925,0.04006794399204826,0.011435087854274675,0.012537817606467008,0.0001307612342349802,0.0001571968703330341,0.014630060272287953,0.02524074920176655,0.023470483630243302,0.010610688929478598,0.00884042335795535,0.00011258671955815969,7.815308514788254e-05,0.005583945767166145,0.008790959348536848,0.007251100862018901,0.003207013581370703,0.0016671550948527559,1.0284936111096144e-05,2.7794061102935015e-06,0.003738708971844697,0.0031186511085054204,0.002809393100771276,0.0006200578633392766,0.0009293158710734209,3.84471753888869e-07,8.63627988228951e-07,-3.4752797056435267,-3.3917814347857087,-3.346595921805856,2.402634548299082,3.702832426083591,7.5055300008026424e-06,0.5772425606846809,True,True
0.005,4.285714285714286,-0.34004422160703707,0.34004422160703707,1.367019781839816,Mild,False,0.027580703841040215,0.04143585841882471,0.04273651029462866,0.013855154577784495,0.015155806453588445,0.00019196530837430265,0.00022969846925863317,0.014727313129092045,0.028197969688462412,0.02567696904256802,0.013470656559370367,0.010949655913475975,0.0001814585881405079,0.00011989496462351938,0.0058467915572552875,0.010645154685870465,0.0084294644561203,0.0047983631286151775,0.002582672898865013,2.3024288714053633e-05,6.67019930253181e-06,0.004151378703627829,0.003946577692094791,0.0034422605027331046,0.00020480101153303766,0.0007091182008947239,4.194345432495542e-08,5.0284862284017e-07,-3.5967704878214612,-3.495317015600627,-3.4492577103020685,2.82068240284867,4.101256335895377,1.6354089411521823e-05,0.6153078749775887,True,True
0.005,4.542857142857143,-0.3987916974122894,0.3987916974122894,1.6906579233737382,Mild,False,0.02760889374539948,0.04399847161831193,0.04552956791647964,0.016389577872912446,0.01792067417108016,0.00026861826285226126,0.0003211505627460196,0.014786291440870163,0.03145247692180164,0.02801209248100384,0.01666618548093148,0.013225801040133676,0.00027776173848481124,0.00017492181315320105,0.006035984938398648,0.012819720840878339,0.009727012952917308,0.006783735902479691,0.0036910280145186596,4.601907279459194e-05,1.3623687803961558e-05,0.004488929780614079,0.0049551428473341595,0.004168001499005239,0.0004662130667200809,0.0003209282816088394,2.173546235805426e-07,1.0299496193640251e-07,-3.721174026967286,-3.5982803498625486,-3.556440495247942,3.3025511898698934,4.426923614040165,3.239538499063038e-05,0.6481089815497398,True,True
0.005,4.8,-0.46287039756424714,0.46287039756424714,2.0622444456272184,Mild,False,0.027623605636786158,0.04660312778936543,0.04842747604107997,0.01897952215257927,0.020803870404293812,0.0003602222611402473,0.000432801023798652,0.014819781918332721,0.034986778710961924,0.03046180157215868,0.020166996792629205,0.01564201965382596,0.00040670775963391666,0.00024467277885067756,0.0061634969459073135,0.01534317998990913,0.011140230112647595,0.009179683044001817,0.004976733166740282,8.426658078833447e-05,2.4767873012932753e-05,0.004747463510712296,0.006171747871821115,0.004988664000498357,0.0014242843611088195,0.0002412004897860611,2.028585941299158e-06,5.817767627303577e-08,-3.8474366794827017,-3.6997027709366748,-3.6676154975707806,3.8398009078057185,4.67379184876146,5.9498707775401715e-05,0.6727820262312889,True,True
0.005,5.057142857142857,-0.5322586980347209,0.5322586980347209,2.4844177490748875,Mild,False,0.02763079484466754,0.049191239463509354,0.0514121232834406,0.021560444618841813,0.02378132843877306,0.00046485277216214485,0.0005655515823127964,0.014837588837927091,0.0387742270935696,0.03301239053499567,0.023936638255642507,0.018174801697068577,0.0005729626509814883,0.0003303234167277668,0.006243967325807004,0.01824216585544299,0.012664431590199018,0.011998198529635984,0.006420464264392014,0.0001439567679565591,4.122236137033489e-05,0.0049328745042750595,0.007625719857997189,0.00590499208089347,0.00269284535372213,0.0009721175766184108,7.251416099062862e-06,9.450125827704517e-07,-3.974805606150221,-3.799100595885552,-3.7823207398097702,4.420468009625435,4.842623398805183,0.00010273440658622421,0.6844525411725044,True,True
0.005,5.314285714285714,-0.6069023687377808,0.6069023687377808,2.95950703671285,Mild,False,0.02763408434912469,0.051696108467401046,0.05446699756710852,0.024062024118276355,0.026832913217983832,0.000578981004668513,0.0007200052317638515,0.014846454150915508,0.042778616450116616,0.0356506922670989,0.02793216229920111,0.020804238116183395,0.0007802056907089118,0.00043281632359485803,0.006291518404240899,0.021540521384412925,0.01429400774165761,0.015249002980172026,0.00800248933741671,0.00023253209188929533,6.403983559546815e-05,0.005057381559203004,0.0093480189719441,0.006916530829564285,0.0042906374127410956,0.0018591492703612812,1.8409569407613602e-05,3.456436009484884e-06,-4.102788323897343,-3.8963166154342566,-3.900154185965321,5.032472849268366,4.9389371796674775,0.00016849225629382718,0.6730617955327034,True,True
