pi_up,pi_down,delta_up,delta_down,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.005,0.005,3.0,3.0,Two-sided jump,0.0,0.0,0.6586469082914189,False,inside,0.026709459673077387,0.0032161625767198505,0.004709445734669717,0.01352868144855565,0.003284325366950889,0.003308721484951661,0.003823966551123648,0.000863817724795561,0.0003907263962575976,0.0017652886750607025,0.0002705753488479556,0.00040111484571977584,1.2206705621329703,0.129436730732612
0.005,0.005,3.0,5.0,Two-sided jump,-0.3818114994355934,0.3818114994355934,2.4928503402310973,False,inside,0.02750398506538032,0.01989773782823845,0.023135766286465936,0.014769692126612586,0.022899048479172134,0.017722141134943494,0.006202217278578952,0.01181960807173802,0.006254281392968243,0.004874612957891095,0.002756789410558268,0.0009350106407475123,3.467643928634107,4.247896525041292
0.005,0.005,3.0,7.0,Two-sided jump,-1.0640534627557838,1.0640534627557838,7.214914679982995,True,outside,0.027522630628697406,0.03179658995529497,0.04744660528071573,0.014803098640377344,0.05436076218393026,0.03929315405741895,0.006332308857896451,0.04697200935003902,0.02071207052137612,0.005221437836035591,0.024322257853166104,0.010485517671568172,8.713039585033739,4.146727738353935
0.005,0.005,5.0,3.0,Two-sided jump,0.3818114994355934,0.3818114994355934,2.4928503402310973,False,inside,0.026708890285474525,0.0020621967141178504,0.010044255348784975,0.013528433813749663,0.005559797520645985,0.008494709400818168,0.0038239328059308754,0.006565486621778151,0.0034915920227651725,0.0017652828596086696,0.0030730315453680853,0.0012903569404219158,17.745876940085555,11.082315647553678
0.005,0.005,5.0,5.0,Two-sided jump,0.0,0.0,3.868930993055118,False,inside,0.027492052392593818,0.013969655595698221,0.02505577984746139,0.014760671959671397,0.024324835420091017,0.01988267213662075,0.006198284639773185,0.017208449030833996,0.008006209557071462,0.004872948593386553,0.006159373421962547,0.0021594563500819414,1.3566115325860928,0.31296900684015705
0.005,0.005,5.0,7.0,Two-sided jump,-0.6709407983401005,0.6709407983401005,7.802494428430141,True,outside,0.027510697955910903,0.02577745673449257,0.04792565759649928,0.014788552387645216,0.05465389619216714,0.03995781500473034,0.006315241615684753,0.05118719643224843,0.021441006362295772,0.0052058214543356665,0.02742532964427733,0.011115364565309701,415.3546675178663,2.7822568395861422
0.005,0.005,7.0,3.0,Two-sided jump,1.0640534627557838,1.0640534627557838,7.214914679982995,True,outside,0.026708889493711776,0.026708889493711776,0.021327900407921135,0.013528433627365478,0.0014087850980418256,0.018738360820363745,0.0038239327987646156,0.0226239485663129,0.010104330908265785,0.0017652828591339315,0.016107183535849154,0.005474546674584208,42.99150884661463,30.87630047890639
0.005,0.005,7.0,5.0,Two-sided jump,0.6709407983401005,0.6709407983401005,7.802494428430141,True,outside,0.027491484431069798,0.01261717006672208,0.03134740886452743,0.014760424569168522,0.018933665513872325,0.02625315952028642,0.006198250899488681,0.03206137005118091,0.012946843707751052,0.004872942778134316,0.018915988805840004,0.005703806227605394,354.0175019351524,10.017501749176853
0.005,0.005,7.0,7.0,Two-sided jump,0.0,0.0,10.473961766317,True,outside,0.027498766709203242,0.00012287198556882803,0.05017329114191767,0.01477953246500714,0.04810077201036056,0.04261341631043409,0.006311308981787255,0.06406271813202588,0.024047230498858835,0.00520415709003092,0.03944437841898178,0.013305884972039609,599.644264600119,1.6204054817087175
0.005,0.01,3.0,3.0,Two-sided jump,-0.10681899964614046,0.10681899964614046,0.8907504223136333,False,inside,0.03078253662445861,0.005609618013080832,0.0075556332855539685,0.01720380247021096,0.005240145984267936,0.004717084890037908,0.0063047845558424145,0.0011407110602649094,8.670950826129495e-05,0.0032991114162802576,0.0006545935450549536,0.0009430560582321065,1.5638770681402536,2.996057685872417
0.005,0.01,3.0,5.0,Two-sided jump,-0.735018278231408,0.735018278231408,3.7191634022387325,True,outside,0.03237158740906447,0.0241785639866925,0.03477737681264184,0.019685823826324833,0.03194579327282268,0.026595252421417914,0.011061286010753022,0.021618880080093404,0.00976540693929919,0.009517759981941041,0.007650091981516947,0.0015586714378450807,15.142768430533652,14.26290694632252
0.005,0.01,3.0,7.0,Two-sided jump,-1.688341640348574,1.688341640348574,9.719608584161884,True,outside,0.03240887853569865,0.008559680856518523,0.06642036700273002,0.019752636853854345,0.04391247758692025,0.05579254926735181,0.01132146916938802,0.06731713463535745,0.031513195896888356,0.010211409738230034,0.05023418171497429,0.017311281809739287,26.00489135978435,20.348110878748408
